Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/04/2015","1 ARD LORCAIN, STILLORGAN, DUBLIN","","Dublin","€416,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","1 Dunard, Malahide, Co Dublin","","Dublin","€458,149.77","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/04/2015","1 Linnett, Barnageeragh Cove, Skerries","","Dublin","€259,912.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/04/2015","1 THE FOSTERS, FOSTERS AVE, BLACKROCK","","Dublin","€760,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","1 The Square, Aubrey Manor, Rathcoole","","Dublin","€290,748.89","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/04/2015","105 GLEANN NA RI, DRUIDS VALLEY, LOUGHLINSTOWN DUBLIN 18","Dublin 18","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","110 ST COLUMBANUS RD, MILLTOWN, DUBLIN 14","Dublin 14","Dublin","€410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","114 Castleheath, Malahide","","Dublin","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","12 COLLEGEWOOD, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","€671,500.51","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","12 Thorncastle Street, Ringsend","Dublin 4","Dublin","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","13 PORTERSGATE CRESCENT, PORTERSGATE, CLONSILLA DUBLIN 15","Dublin 15","Dublin","€184,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","136 THE CRESCENT, PARKWEST POINTE, DUBLIN 12","Dublin 12","Dublin","€128,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","148 GRANGE LODGE AVE, CLONGRIFFIN, DUBLIN 13","Dublin 13","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","16 HAMPTON WOOD GREEN, ST MARGARETS, DUBLIN 11","Dublin 11","Dublin","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","2 CHAPEL GROVE, NAUL RD, BALBRIGGAN","","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","2 TEMPLEROAN GROVE, KNOCKLYON, DUBLIN 16","Dublin 16","Dublin","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","20 Hampton Wood Way, Hampton Wood, Dublin 11","Dublin 11","Dublin","€185,022.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/04/2015","21 ANNANNAMOE DRIVE, ANNMOE, DUBLIN7","","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","21 HOLYWELL WAY, GORSE HILL FELTRIM RD, SWORDS","","Dublin","€161,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","223 THE NEW HARDWICKE, CHURCH ST, DUBLIN 7","Dublin 7","Dublin","€199,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","24 GLENBOURNE PARK, LEOPARDSTOWN, DUBLIN 18","Dublin 18","Dublin","€485,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","25 The Hollows, Lucan, Co. Dublin","","Dublin","€240,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/04/2015","26 FERGUSON RD, DUBLIN 9, DUBLIN","Dublin 9","Dublin","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","277 PREMIER SQ, FINGLAS RD, DUBLIN 11","Dublin 11","Dublin","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","29 BEAUMONT HALL, BEAUMONT, DUBLIN 9","Dublin 9","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","29 KILCRONAN CRESCENT, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","30 AUBREY HOUSE APTS, QUINNS RD, SHANKILL","Dublin 18","Dublin","€425,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","31 BALBRIGGAN ST, SKERRIES, DUBLIN","","Dublin","€520,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","31 CADDELL, THE LINKS, STATION RD","Dublin 13","Dublin","€272,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","34 KELLY PK, LUSK, DUBLIN","","Dublin","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","36 Burford Drive, Honeypark, Dun Laoghaire","","Dublin","€562,996.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"01/04/2015","38 MURTAGH RD, STONEYBATTER, DUBLIN","Dublin 7","Dublin","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","38 WOODLANDS PARK, BLACKROCK, DUBLIN","","Dublin","€2,050,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","39A Templeroan Way, Knocklyon","","Dublin","€610,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/04/2015","4 BELLA AVE, UPPER BUCKINGHAM ST, DUBLIN 1","Dublin 1","Dublin","€116,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","4 KILLINEY TOWERS, KILLINEY RD, KILLINEY","","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","44 Dartmouth Square, Leeson Park, Parish of St. Peter","Dublin 6","Dublin","€1,520,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","45 THE BELFRY, ENNISKERRY ROAD, STEPASIDE","Dublin 18","Dublin","€165,750.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","47 HAWTHORN PK, SWORDS, DUBLIN","","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","47 MOUNT PROSPECT PARK, CLONTARF, DUBLIN 3","Dublin 3","Dublin","€700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","473 CARNLOUGH RD, CABRA WEST, DUBLIN 7","Dublin 7","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","54 BERTRAM CT, CHRISTCHURCH, DUBLIN 8","Dublin 15","Dublin","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","54 LUTTRELLSTOWN DR, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","€614,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","58 Seabrook, Rush","","Dublin","€229,074.74","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/04/2015","6 Crosforge Close, Crosforge, Saggart","","Dublin","€283,894.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"01/04/2015","6 MOURNE LODGE, MOURNE ROAD, DUBLIN 12","","Dublin","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","6 The Close, Millers Glen, Swords","","Dublin","€268,722.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"01/04/2015","66 THE VILLAGE, PORTERSTOWN, CLONSILLA","Dublin 15","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","7 BOLBROOK VILLAS, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2015","7D THOMAS COURT, OFF THOMAS ST, DUBLIN 8","Dublin 8","Dublin","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
