Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/04/2016","1 RATH GEAL, WESTBOURNE RISE, CLONDALKIN DUBLIN 22","Dublin 22","Dublin","€148,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","10 SALLYMOUNT AVE, RANELAGH, DUBLIN 6","Dublin 6","Dublin","€800,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","120 TYRCONNELL PARK, INCHICORE, DUBLIN 8","Dublin 8","Dublin","€296,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","128 LORETO AVE, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","129 THE WATERMILL, WATERMILL RD, RAHENY","Dublin 5","Dublin","€299,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","13 LAMBES COURT, BEAVERSTOWN ORCHARD, DONABATE","","Dublin","€187,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","13 Silken Park Avenue, Kingswood, Citywest","Dublin 24","Dublin","€198,238.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/04/2016","14 HAYWORTH MEWS, ONGAR VILLAGE, DUBLIN 15","Dublin 15","Dublin","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","15 BEECHWOOD RD, RANELAGH, DUBLIN","Dublin 6","Dublin","€875,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","16 ELM PARK TERRACE, TERENURE, DUBLIN 6W","","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","16 ORCHARD LANE, BLACKROCK, DUBLIN","","Dublin","€333,810.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","17 WILFIELD, SANDYMOUNT, DUBLIN 4","Dublin 4","Dublin","€510,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","18 Phelan Avenue, Royal Canal Park, Ratoath Rd  Ashtown","","Dublin","€317,180.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"01/04/2016","18 SHELTON GARDENS, KIMMAGE RD WEST, DUBLIN 12","Dublin 12","Dublin","€385,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","2 DUN EMER WAY, DUN EMER, LUSK","","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","21 CLANRANALD RD, DONNYCARNEY, DUBLIN 5","Dublin 5","Dublin","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","21 Rathdown Park, Terenure, Dublin 6w","","Dublin","€650,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","22 CASTLEFARM, SWORDS, DUBLIN","Dublin 18","Dublin","€388,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","22 ERNE TERRACE, PEARSE STREET, DUBLIN 2","","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","271 ARTHUR GRIFFITH, LUCAN, DUBLIN","","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","2A BAWNVILLE AVENUE, TALLAGHT, DUBLIN 24","","Dublin","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","3 Dalriada Green, Knocklyon, Dublin 16","Dublin 16","Dublin","€312,775.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/04/2016","3 SKERRIES ROAD, LUSK, CO DUBLIN","","Dublin","€223,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","31 PORTERSGATE AVE, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€305,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","31 THE ORCHARD, KILLESTER, DUBLIN 5","Dublin 5","Dublin","€370,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","331 ERRIGAL RD, DRIMNAGH DUBLIN 12, DUBLIN 12","Dublin 12","Dublin","€207,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","34 OAKDENE, BALLINCLEA RD, KILLINEY","","Dublin","€695,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","36 FAIRLAWN RD, FINGLAS, DUBLIN 11","Dublin 11","Dublin","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","39 DALETREE CLOSE, FIRHOUSE, DUBLIN 24","","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","39 SYMPHONY HOUSE, ADELAIDE RD, DUBLIN 2","Dublin 2","Dublin","€675,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","4 LAD LANE, DUBLIN 2, DUBLIN","Dublin 2","Dublin","€512,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","42 ST PAPPIN RD, GLASNEVIN, DUBLIN","Dublin 11","Dublin","€250,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","44 LAMBAY VIEW, RUSH, DUBLIN","","Dublin","€255,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/04/2016","49 LORETO ROW, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
