Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/09/2014","1 RICHMOND AVE, FAIRVIEW, DUBLIN 3","Dublin 3","Dublin","€127,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","1 ROSEMOUNT TERRACE, BOOTERSTOWN, DUBLIN","","Dublin","€505,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","10 Blackglen Heath, Belmont, Aikens Village  Stepaside","","Dublin","€312,775.33","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/09/2014","10 Marshal's Court, Thomas Street","Dublin 8","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","10 MARTELLO AVE, DUN LAOGHAIRE, DUBLIN","","Dublin","€915,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","100 GRANGE VIEW RD, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€188,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","101 THE LIGHTHOUSE, CHURCH RD, EASTWALL DUBLIN 3","Dublin 3","Dublin","€208,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","102 KICKHAM RD, INCHICORE, DUBLIN 8","Dublin 8","Dublin","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","109 BROADFORD HILL, BALLINTEER, DUBLIN 16","Dublin 16","Dublin","€550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","12  Riverstown House, Spencer Dock","Dublin 1","Dublin","€277,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","12 brandon square, waterville, blanchardstown","Dublin 15","Dublin","€306,167.40","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/09/2014","12 Claremont Park, Sandymount","Dublin 4","Dublin","€1,400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","12 FRASCATI PARK, BLACKROCK, DUBLIN","","Dublin","€995,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","12 Seabrook, Brook Lane, Rush","","Dublin","€259,911.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/09/2014","14 CAMBRIDGE RD, RATHMINES, DUBLIN 6","Dublin 6","Dublin","€1,400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","15 FOXBOROUGH DOWNS, LUCAN, DUBLIN","","Dublin","€232,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","150 Hampton Wood Ave, Hampton Wood, Dublin 11","","Dublin","€166,080.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"01/09/2014","178 St  Margaret's Road, Hampton Wood, Finglas","Dublin 11","Dublin","€157,430.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"01/09/2014","18  Coldwater Lakes, Saggart","","Dublin","€295,000.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"01/09/2014","18 Seabury Meadows, Malahide","","Dublin","€375,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","19 CASTLEGATE GREEN, ADAMSTOWN, CO DUBLIN","","Dublin","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","20 ST MARKS AVE, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","22 MARLEY COURT, RATHFARNHAM, DUBLIN 14","Dublin 14","Dublin","€409,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","24 HOLLYBROOK GROVE, CLONTARF, DUBLIN 3","Dublin 3","Dublin","€482,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","24 the crofton, georges place, dun laoghaire","","Dublin","€264,317.18","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"01/09/2014","247 RICHMOND RD, FAIRVIEW, DUBLIN 3","Dublin 3","Dublin","€127,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/09/2014","249 RICHMOND RD, FAIRVIEW, DUBLIN 3","Dublin 3","Dublin","€127,500.00","No","No","Second-Hand Dwelling house /Apartment",""
