Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/05/2014","1 BARNHILL AVE, DALKEY, DUBLIN","","Dublin","€830,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","10 CLONMORE TERRACE, NORTH STRAND, DUBLIN 3","Dublin 3","Dublin","€218,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","10 TAMARISK AVE, KILNAMANAGH, DUBLIN 24","Dublin 24","Dublin","€235,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","114A TEMPLEOGUE WOOD, TEMPLEOGUE, DUBLIN 6W","","Dublin","€515,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","15 BANCROFT CRESCENT, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","€291,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","15 BANNOW ROAD, CABRA WEST, DUBLIN 7","Dublin 7","Dublin","€183,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","16 Music Hall, Copper Alley, Dublin 2","Dublin 8","Dublin","€265,100.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","175 CYPRESS COURT, BALLYBRACK, DUBLIN","","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","19 LAWNSWOOD PARK, BLACKROCK, DUBLIN 18","","Dublin","€700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","20 The Grove, Hanstead, Lucan","","Dublin","€136,520.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/05/2014","21 HAUESTOWN, RUSH, DUBLIN","","Dublin","€75,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","22 THE GREEN, BEAUMONT WOODS, DUBLIN","","Dublin","€249,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","23 Delvin Bank, The Naul","","Dublin","€206,247.24","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/05/2014","23 ST MICHAELS TERRACE, BLACKPITTS, CIRCULAR RD SOUTH DUBLIN 8","Dublin 8","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","26 RIVER VALLEY GROVE, SWORDS, DUBLIN","","Dublin","€226,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","31 RATRA PK, DUBLIN 7, DUBLIN","Dublin 7","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","32 GLANDORE RD, GRIFFITH AVE, DUBLIN 9","Dublin 9","Dublin","€600,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","32 KINSELLA HALL, COLLEGEWOOD, CASTLEKNOCK","Dublin 15","Dublin","€229,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/05/2014","35 THE AVENUE, SEATOWN PARK, SWORDS","","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
