Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"02/05/2016","59 CASTLE COURT, KILGOBBIN WOOD, SANDYFORD DUBLIN 18","Dublin 18","Dublin","€281,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/05/2016","9 TAPTON, MURPHYSTOWN ROAD, SANDYFORD","Dublin 18","Dublin","€365,639.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/05/2016","98 CLON BRUGH, AIKENS VILLAGE, SANDYFORD DUBLIN 18","Dublin 18","Dublin","€362,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","10 BISHOPS ORCHARD TURRELSTOWN, DUBLIN 15, DUBLIN","Dublin 15","Dublin","€249,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","102 MEADOW COPSE, HARTSTOWN, DUBLIN 15","Dublin 15","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","105 CALEDON RD, EAST WALL, DUBLIN 3","Dublin 3","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","144 MELLOWS AVENUE, FINGLAS, DUBLIN 11","Dublin 11","Dublin","€131,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","157 ARDILAUN, PORTMARNOCK, DUBLIN","Dublin 13","Dublin","€478,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","16 BALLYOWEN GREEN, LUCAN, DUBLIN","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","161 ORWELL RD, CHURCHTOWN, DUBLIN 14","Dublin 14","Dublin","€640,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","17 ANNALY TERRACE ONGAR WOOD ONGAR, DUBLIN","Dublin 15","Dublin","€229,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","18 BOYD HOUSE, MYRTLE, THE COAST DUBLIN 13","Dublin 13","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","194 OWENS AVENUE, CEANNT FORT, DUBLIN 8","Dublin 8","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","200 ARTHUR GRIFFITH PARK, LUCAN, DUBLIN","","Dublin","€218,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","21 Bracken view, Bracken Park, Castleknock","Dublin 15","Dublin","€337,350.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"03/05/2016","26 ANNADALE DR, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","26 LIBERTY CORNER, FOLEY ST, DUBLIN 1","Dublin 1","Dublin","€206,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","29  MIMOSA HALL, THE GALLOPS, DUBLIN 18","Dublin 18","Dublin","€110,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","32 CARROROE, THE DONAHIES, DUBLIN 13","Dublin 13","Dublin","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","4 Grosvenor Manor, Grosvenor Place, Rathmines","Dublin 6","Dublin","€351,541.85","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"03/05/2016","42 OLCOVAR, DUBLIN RD, SHANKILL","Dublin 18","Dublin","€316,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","43 OFFINGTON LAWN, SUTTON, DUBLIN 13","Dublin 13","Dublin","€820,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","43 TURVEY DR, DONABATE, DUBLIN","","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","5 THE COURTYARD, CLONSILLA DUBLIN 15, DUBLIN","Dublin 15","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","57 HARCOURT GREEN, CHARLEMONT ST, DUBLIN 2","Dublin 2","Dublin","€337,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/05/2016","6 SWORDS ST, OXMANTOWN RD, DUBLIN 7","Dublin 7","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
