Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/02/2016","1 MOYGLAS GLADE, MOYGLAS, LUCAN","","Dublin","€286,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/02/2016","113 PARKVIEW MANSION, APT 8, HAROLDS CROSS DUBLIN 6W","","Dublin","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","12 COUNDON COURT, KILLINEY AVE, KILLINEY","","Dublin","€900,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","14 GLENCAIRN CRESCENT, THE GALLOPS, LEOPARDSTOWN DUBLIN 18","Dublin 18","Dublin","€460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","150 HARCOURT GREEN, CHARLEMONT, DUBLIN 2","Dublin 2","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","180 CLONMACNOISE RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€218,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","19 GROVE GARDEN, VERDEMONT, BLANCHARDSTOWN","Dublin 15","Dublin","€136,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","2 MOYGLAS GLADE, MOYGLAS, LUCAN","","Dublin","€286,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/02/2016","25 THE RICHMOND, BRUNSWICK ST NORTH, DUBLIN","Dublin 7","Dublin","€120,264.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","29 YORK RD, RATHMINES, DUBLIN 6","Dublin 6","Dublin","€760,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","3 ASHFIELD RISE, BALBRIGGAN, CO. DUBLIN","","Dublin","€146,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","31 CASTLEVIEW CLOSE, SWORDS, DUBLIN","","Dublin","€241,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","32 CHAPEL CLOSE, BALBRIGGAN, DUBLIN","","Dublin","€198,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","35 BROOK COURT, MONKSTOWN, DUBLIN","","Dublin","€744,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","4 Spire View, spire View Lane","Dublin 6","Dublin","€470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","408 SWIFTWOOD, SAGGART, DUBLIN","Dublin 24","Dublin","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","41 LUTTERAL PARK CRESCENT, CASTLEKNOCK, DUBLIN 15","","Dublin","€364,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","41 OAK PARK AVE, SANTRY, DUBLIN 9","Dublin 9","Dublin","€218,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2016","54 WYCKHAM PLACE, DUNDRUM","Dublin 16","Dublin","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
