Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/03/2010","100 corrib road, terenure","Dublin 6","Dublin","€298,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","106 Royal Canal Court, Ashtown","Dublin 15","Dublin","€285,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/03/2010","13 Weston Park, Oldtown, Fingal","","Dublin","€280,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/03/2010","14 Belton Park Gardens, Donnycarney","Dublin 5","Dublin","€194,663.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","16 Woodbrook Park, Templeogue, Dublin 16","","Dublin","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","2 sarsfield terrace, lucan","","Dublin","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","21  Tynan Hall Park, Tynan Hall  Kingswood, Tallaght","","Dublin","€340,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/03/2010","23 All Hallows Square, Drumcondra, Dublin 9","","Dublin","€513,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","24 Oaklands Park, Sandymount","Dublin 4","Dublin","€750,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","25 Charnwood Dale, Clonsilla","Dublin 15","Dublin","€343,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","26 LAUDERDALE TERRACE, NEW ROW SOUTH","Dublin 8","Dublin","€166,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","31 New Row, Chapelizod","Dublin 20","Dublin","€381,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","31 Sandyford Downs, Sandyford, Dublin","","Dublin","€450,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","42 Fassaugh Avenue, Cabra","Dublin 7","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","47 Glenomena Park, Blackrockl, County Dublin","","Dublin","€480,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","62 Gulistan Cottages, Rathmines, Dublin 6","Dublin 6","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","71 Powers Court, Mount Street, Dublin2","Dublin 2","Dublin","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","84 ardcollum avenue, artane, dublin 5","","Dublin","€252,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","Apartment 10, The Waterfront, Hanover Quay","Dublin 2","Dublin","€436,366.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/03/2010","Apartment 93, 20 Christchurch Place, Dubin 8","Dublin 8","Dublin","€277,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","Apt 18 The Oak, Parkview, Stepaside","Dublin 18","Dublin","€348,017.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/03/2010","Apt 36 The Sycamore, Park View, Enniskerry Road  Stepaside","Dublin 18","Dublin","€286,343.61","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/03/2010","Apt. 27, Allendale Square, Clonsilla","Dublin 15","Dublin","€168,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/03/2010","Lanesborough Court, Finglas, Dublin 11","","Dublin","€158,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","10 Esker Meadow Court, Lucan","","Dublin","€277,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","15 Maretimo Gardens East, Blackrock","","Dublin","€1,150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","182 GRANDE CENTRAL, ROCKBROOK, SANDYFORD","","Dublin","€264,317.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/03/2010","23 Willowfield, Park Avenue  Sandymount, Dublin 4","","Dublin","€265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","23 Willowfield, Park Avenue  Sandymount, Dublin 4","","Dublin","€265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","24 St.Cathryn's Court, Newgrove Avenue, Sandymount","Dublin 4","Dublin","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","25 Melville Crescent, Meakstown, Finglas","Dublin 11","Dublin","€135,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","3 Abbotstown House, Abbotstown Avenue, Finglas","Dublin 11","Dublin","€100,000.00","No","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/03/2010","40A Main Street, Belmayne, Balgriffin","Dublin 13","Dublin","€220,264.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/03/2010","438 GRIFFITH AVENUE, GLASNEVIN","","Dublin","€388,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","45 Castlefarm, Swords","","Dublin","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","51 Lower Mount Pleasant Avenue, Ranelagh","","Dublin","€640,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","64 Glenmalure Square, Milltown, Dublin 6","","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","8 Butterfield Avenue, Rathfarnham","Dublin 14","Dublin","€570,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","8 Sycamore Road, Mount Merrion","","Dublin","€782,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","83 Beechfield road, Walkinstown, Dublin 12","","Dublin","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/03/2010","Apartment 36, Cremorne, Terenure","Dublin 6","Dublin","€245,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","1 OLD ESTUARY MILL, MALAHIDE","","Dublin","€625,550.66","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"03/03/2010","134 royal canal court, royal canal way, ashtown","","Dublin","€295,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/03/2010","15 Ebenezer Terrace, Donor Avenue, Inchicore  Dubllin 8","","Dublin","€306,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","159 Benmadigan Road, Drimnagh, Dublin 12","Dublin 12","Dublin","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","3 Longwood Avenue, South Circular Road, Dublin 8","Dublin 8","Dublin","€455,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","3 Washington Grove, Butterfield Avenue, Rathfarnham","Dublin 14","Dublin","€528,590.30","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"03/03/2010","31 creston avenue, meakstown","","Dublin","€250,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/03/2010","35 Arnott Street, South Circular Road, Dublin 8","Dublin 8","Dublin","€495,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","35 Sydney Avenue, Blackrock, Co.Dublin","","Dublin","€878,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","44 Ballynakelly Green, Crumlin","","Dublin","€220,264.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/03/2010","7 Coolmine Road, Blanchardstown, Dublin 15","","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","7 Lower Cherryfield Avenue, Ranelagh, Dublin 6","Dublin 6","Dublin","€550,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","Apartment 20, Goldstone Court, Clogher Road","","Dublin","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/03/2010","Apartment No. 8, Mellowes Quay, Ushers Quay","Dublin 8","Dublin","€185,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"03/03/2010","APT 73, NO. 16 KINGS INNS STREET, DUBLIN 7","","Dublin","€283,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","1 Ailesbury Park, Ballsbridge","Dublin 4","Dublin","€1,850,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","122 Cremona Road, Ballyfermot","Dublin 12","Dublin","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","17 Harolds Cross Road, Harolds Cross","Dublin 6w","Dublin","€205,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/03/2010","18 Orby Lawn, The Gallops, Leopardstown","","Dublin","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
