Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2016","34 MOUNT PLEASANT TERRACE, RANELAGH, DUBLIN 6","Dublin 15","Dublin","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","13 Drury Mills, Saggart","","Dublin","€230,088.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2016","19 Drury Mills, Saggart","","Dublin","€321,586.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2016","2 BRIGHTON SQ, BRIGHTON RD, FOXROCK DUBLIN 18","Dublin 18","Dublin","€1,150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","2 MOYOLA MEWS, LOWER CHURCHTOWN ROAD, DUBLIN 14","","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","24 WOODSTOWN MEADOW, KNOCKLYON, DUBLIN 16","Dublin 16","Dublin","€430,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","28 BELTON PARK GARDENS, DONNYCARNEY, DUBLIN","Dublin 9","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","307 HAMPTON LODGE, BLOCK B, GRACE PARK RD","Dublin 9","Dublin","€315,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","32 LATCHFORD SQ, CLONEE, DUBLIN 15","Dublin 15","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","48A BEAUFIELD PARK, STILLORGAN, DUBLIN 18","","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","5 MOUNT ARGUS TERRACE, HAROLDS CROSS, DUBLIN 6","","Dublin","€375,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2016","50 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15","Dublin 15","Dublin","€189,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","1 VILLAREA PARK, ADELAIDE RD, GLENAGEARY","","Dublin","€600,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","10 CARNLOUGH ROAD, CABRA WEST, DUBLIN 7","","Dublin","€107,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","167 The Crescent, Park West Point, Gallanstown","","Dublin","€130,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","2 TAYLEURS POINT, RUSH, DUBLIN","","Dublin","€414,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","21 AMBER, THE GRANGE, STILLORGAN","","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","23A ST. PETERS ROAD, PHIBSBOROUGH, DUBLIN 7","","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","27 UPPER CLANBRASSIL ST, DUBLIN 8, DUBLIN","Dublin 8","Dublin","€341,200.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","29 GREENVIEW, SEABROOK MANOR, STATION RD","Dublin 13","Dublin","€94,042.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","3 Castleview Walk, Artane","Dublin 5","Dublin","€348,017.62","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"05/01/2016","3 CLARENDON HALL, AUNGIER ST, DUBLIN 2","Dublin 2","Dublin","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","30 THE RICHMOND, BRUNSWICK ST NORTH, DUBLIN","Dublin 7","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","304 PEARSE AVENUE, SALLYNOGGIN, CO DUBLIN","","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","36 The Alders, Monkstown Valley, Monkstown","","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","38 STANFORD GREEN, WALKINSTOWN, DUBLIN 12","Dublin 12","Dublin","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2016","40 WEAVERS HALL, LEVMOSS PARK, THE GALLOPS","Dublin 18","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
