Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/10/2014","100B Briarfield Grove, Kilbarrack, Dublin 5","Dublin 5","Dublin","€220,264.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/10/2014","113 BLOOMFIELD PARK, BLOOMFIELD AVE, DONNYBROOK DUBLIN 4","Dublin 4","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","12 Comerfords Cross, Portmarnock","","Dublin","€171,802.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/10/2014","17 HERMITAGE PARK, RATHFARNHAM, DUBLIN 16","Dublin 16","Dublin","€595,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","171 CAPTAINS RD, CRUMLIN, DUBLIN 12","Dublin 12","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","188 RUSHEENEY PARK, RUSHEENEY VILLAGE, CLONSILLA DUBLIN 15","Dublin 15","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","2 KEARNS COURT, KEARNS PLACE, KILMAINHAM","Dublin 8","Dublin","€122,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","20 Brickfield Drive, Honey park, Dun Laoire","","Dublin","€537,444.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/10/2014","213 THE TRAMYARD, SPA RD, INCHICORE DUBLIN 8","Dublin 8","Dublin","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","27 GRAND CANAL COURT, RIALTO, DUBLIN 8","Dublin 8","Dublin","€174,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","27 SESKIN VIEW RD, TALLAGHT, DUBLIN 24","Dublin 24","Dublin","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","28 CASTLEWOOD AVE, RATHMINES, DUBLIN CITY","Dublin 6","Dublin","€600,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","30 CASTLEROSSE VIEW, BALDOYLE, DUBLIN 13","Dublin 13","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/10/2014","32 GALTYMORE PARK, DRIMNAGH, DUBLIN 12","Dublin 12","Dublin","€265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
