Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/02/2010","15 Castleland, Park View, Dublin","","Dublin","€315,000.00","No","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/02/2010","161 Ballyboden Road, Rathfarnham, Dublin 16","","Dublin","€207,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","166, St Attracta Road, Cabra","Dublin 7","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","21 Willsbrook Crescent, Lucan, Co. Dublin","","Dublin","€262,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","26 Carysfort Avenue, Dalkey, County Dublin","","Dublin","€500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","33 Brookwood Lawn, Artane","","Dublin","€470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","34 licannor road, cabra","Dublin 7","Dublin","€191,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","45 oaklands park, sandymount","Dublin 4","Dublin","€652,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","46 Thomas Moore Road, Walkinstown, Dublin 12","Dublin 12","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","47 Charnwood Heath, Clonsilla, Dublin","","Dublin","€300,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","47 Commons Road, Clondalkin","","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","581 Howth Road, Raheny","Dublin 5","Dublin","€501,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","62 Kings Hall, Chapelizod","Dublin 20","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","74 The Park, Beaumont Woods, Beaumont Dublin 9","","Dublin","€400,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","78 Glenaulin Green, Palmerstown","Dublin 20","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","8 Hastings Court, Balbriggan, County Dublin","","Dublin","€148,898.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/02/2010","9 Foxborough Green, Lucan","","Dublin","€241,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","9 Kilgobbin Lawn, Stepaside","","Dublin","€925,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","90 Sycamore Road, Finglas","Dublin 11","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"01/02/2010","Apt 67 Rosanule, Phoenix Park Racecourse, Castleknock","Dublin 15","Dublin","€252,500.00","No","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"01/02/2010","Apt 83 Crosbies Yard, Ossory Road, Dublin 3","Dublin 3","Dublin","€176,500.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2010","1 Ashfield Road, Ranelagh, Dublin 6","","Dublin","€646,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","1 Seabrook, Brook Lane, Rush","","Dublin","€325,991.18","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2010","12 Glencairn Copse, The Gallops, Leopardstown","Dublin 18","Dublin","€410,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","18 Lower Albert Road, Sandycove","","Dublin","€840,000.00","No","No","Second-Hand Dwelling house /Apartment",""
